company,security,CNPJ
FERREIRA GOMES ENERGIA S.A.,#N/D,12.489.315/0001-23
FERROVIA CENTRO-ATLANTICA S.A.,VSPT3,00.924.429/0001-75
FERROVIA CENTRO-ATLANTICA S.A., VSPT4,00.924.429/0001-75
FERTILIZANTES HERINGER S.A.,FHER3,22.266.175/0001-88
FINANCEIRA ALFA S.A.- CRED FINANC E INVS,CRIV3,17.167.412/0001-13
FINANCEIRA ALFA S.A.- CRED FINANC E INVS, CRIV4,17.167.412/0001-13
FINANSINOS S.A.- CREDITO FINANC E INVEST,FNCN3,91.669.747/0001-92
FLEURY S.A.,FLRY3,60.840.055/0001-31
FLEX GESTÃO DE RELACIONAMENTOS S.A.,FLEX3,10.851.805/0001-00
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,26.735.020/0001-02
FRAS-LE S.A.,FRAS3,88.610.126/0001-29
GAFISA S.A.,GFSA3,01.545.826/0001-07
GAIA AGRO SECURITIZADORA S.A.,GAFL-CRA02B0,14.876.090/0001-93
GAIA SECURITIZADORA S.A.,#N/D,07.587.384/0001-30
GAMA PARTICIPACOES S.A.,OPGM3B,02.796.775/0001-40
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,GSHP3,08.764.621/0001-53
GERDAU S.A.,GGBR3,33.611.500/0001-19
GERDAU S.A., GGBR4,33.611.500/0001-19
GOL LINHAS AEREAS INTELIGENTES S.A.,GOLL11,06.164.253/0001-87
GOL LINHAS AEREAS INTELIGENTES S.A., GOLL4,06.164.253/0001-87
GP INVESTMENTS. LTD.,GPIV33,07.857.850/0001-50
GPC PARTICIPACOES S.A.,GPCP3,02.193.750/0001-52
GPC PARTICIPACOES S.A., GPCP4,02.193.750/0001-52
GRAZZIOTIN S.A.,CGRA4,92.012.467/0001-70
GRAZZIOTIN S.A., CGRA3,92.012.467/0001-70
GRENDENE S.A.,GRND3,89.850.341/0001-60
GRUPO DE MODA SOMA S.A.,SOMA3,10.285.590/0001-08
GRUPO MATEUS S.A.,GMAT3,24.990.777/0001-09
CENTAURO S.A.,CNTO3,13.217.485/0001-11
GUARARAPES CONFECCOES S.A.,GUAR3,08.402.943/0001-52
HAGA S.A. INDUSTRIA E COMERCIO,HAGA3,30.540.991/0001-66
HAGA S.A. INDUSTRIA E COMERCIO, HAGA4,30.540.991/0001-66
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,HAPV3,05.197.443/0001-38
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,HBRE3,14.785.152/0001-51
HELBOR EMPREENDIMENTOS S.A.,HBOR3,49.263.189/0001-02
HERCULES S.A. FABRICA DE TALHERES,HETA3,92.749.225/0001-63
HERCULES S.A. FABRICA DE TALHERES, HETA4,92.749.225/0001-63
HIDROVIAS DO BRASIL S.A.,#N/D,12.648.327/0001-53
HOTEIS OTHON S.A.,HOOT4,33.200.049/0001-47
HYPERA S.A.,HYPE3,02.932.074/0001-91
IGB ELETRÔNICA S/A,IGBR3,43.185.362/0001-07
IGUA SANEAMENTO S.A.,IGSN3,08.159.965/0001-33
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,IGTA3,51.218.147/0001-93
INDUSTRIAS J B DUARTE S.A.,JBDU3,60.637.238/0001-54
INDUSTRIAS J B DUARTE S.A., JBDU4,60.637.238/0001-54
INDUSTRIAS ROMI S.A.,ROMI3,56.720.428/0001-63
INEPAR S.A. INDUSTRIA E CONSTRUCOES,INEP4,76.627.504/0001-06
INEPAR S.A. INDUSTRIA E CONSTRUCOES, INEP3,76.627.504/0001-06
INSTITUTO HERMES PARDINI S.A.,PARD3,19.378.769/0001-76
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,#N/D,82.901.000/0001-27
INTER CONSTRUTORA E INCORPORADORA S.A.,INNT3,09.611.768/0001-76
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,MEAL3,17.314.329/0001-20
INVESTIMENTOS BEMGE S.A.,FIGE3,01.548.981/0001-79
INVESTIMENTOS BEMGE S.A., FIGE4,01.548.981/0001-79
INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,IVPR4B,03.758.318/0001-24
INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR, IVPR3B,03.758.318/0001-24
IOCHPE MAXION S.A.,MYPK3,61.156.113/0001-75
IRANI PAPEL E EMBALAGEM S.A.,RANI3,92.791.243/0001-03
IRANI PAPEL E EMBALAGEM S.A., RANI4,92.791.243/0001-03
IRB – BRASIL RESSEGUROS S.A.,IRBR3,33.376.989/0001-91
ITAPEBI GERACAO DE ENERGIA S.A.,#N/D,02.397.080/0001-96
ITAU UNIBANCO HOLDING S.A.,ITUB3,60.872.504/0001-23
ITAU UNIBANCO HOLDING S.A., ITUB4,60.872.504/0001-23
ITAUSA S.A.,ITSA3,61.532.644/0001-15
ITAUSA S.A., ITSA4,61.532.644/0001-15
J. MACEDO S.A.,#N/D,14.998.371/0001-19
JALLES MACHADO S.A.,JALL3,02.635.522/0001-95
JBS S.A.,JBSS3,02.916.265/0001-60
JEREISSATI PARTICIPACOES S.A.,JPSA3,60.543.816/0001-93
JHSF PARTICIPACOES S.A.,JHSF3,08.294.224/0001-65
JOAO FORTES ENGENHARIA S.A.,JFEN3,33.035.536/0001-00
